global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	aroma_motion_01	aroma_motion_05	aroma_motion_06	aroma_motion_08	aroma_motion_09	aroma_motion_10	aroma_motion_11	aroma_motion_16	aroma_motion_20	aroma_motion_23	aroma_motion_25	aroma_motion_27	aroma_motion_30	aroma_motion_31	aroma_motion_32	aroma_motion_33	aroma_motion_34	aroma_motion_35	aroma_motion_36	aroma_motion_38	aroma_motion_39	aroma_motion_40	aroma_motion_41	aroma_motion_42	aroma_motion_43	aroma_motion_44	aroma_motion_45	aroma_motion_46	aroma_motion_49	aroma_motion_50	aroma_motion_51
3941.570622494051	n/a	n/a	15535978.97210814	3361.7729039996525	n/a	n/a	11301517.058066254	4539.244118881221	n/a	n/a	20604737.17079775	4410.5699678926285	2644.103057326829	n/a	n/a	n/a	n/a	0.0954992132	-0.0294511179	0.0542309343	-0.0884813366	0.0207683037	-0.06344588599999999	-0.053371767699999996	-0.0260104257	0.025344616400000002	0.0721417331	-0.0827289375	-0.0686497892	-0.029810028500000002	0.09079060359999999	-0.184633231	0.0797315621	0.0459200696	-0.01562914	0.0521836417	-0.0307569577	0.0144776431	-0.1124963105	0.0994371778	-0.0552000403	0.0883324474	-0.0093277338	0.0084011804	-0.0094834225	0.1436012309	-0.062946057	0.0739760639	-0.1611908391	0.0760600454	-0.0760342393	0.0052185858	-0.008784714	0.08249943629999999	-0.038806201	0.023120009599999998	-0.030947942000000006	-0.0933987188	0.0639729499	-0.2086235202	0.0522048928	-0.035949037999999996	0.0257448282	-0.0074356965	0.0650293467	-0.1257814048	0.0894244884	-0.049916082599999995	0.0964183659	-0.0164996075	-0.0284194756	0.0757575996	-0.193440835	0.0881994151	-0.11478500470000001	0.0979391176	-0.072653619	0.0205953348	-0.0027290121000000003	0.0550710559	-0.0551040574	0.014578633600000003	-0.023390376299999998	0.0894409536	0.08943565710000001	0.08942682980000001	0.0894144721	0.08939858449999999	0.0893791676	0.00919614	n/a	8.456899089960001e-05	n/a	-0.039049900000000005	n/a	0.0015248946900100007	n/a	0.0923128	n/a	n/a	0.00852165304384	0.0	n/a	n/a	0.0	0.00106306	n/a	1.1300965636e-06	n/a	0.0	n/a	0.0	n/a	0.0	-2.354656285	1.57835143	0.1377561023	1.420910372	-1.886944247	-0.6412304108	0.1566519394	-0.07166053629	0.2638535936	-1.093282354	-0.926419808	0.567275418	-0.7389505012	2.892705058	1.18940194	-0.6438990991	-2.203516231	-0.1304067122	-0.6163622438	0.7703701207	-1.612566048	1.796484572	-1.751992643	-0.6256646992	-0.1535564297	0.1554947092	-1.119004792	-3.337939747	0.5581219765	-0.8442253695	0.2526649419
3940.8106006999933	-0.7600217940575931	0.5776331274425224	15529988.190589445	3361.552978713234	-0.2199252864184018	0.04836713160621607	11300038.428695815	4536.115549764961	-3.1285691162602234	9.787944715217275	20576344.280819472	4409.2625356934495	2646.451294343132	1.080667	10.629892000000002	0.09967303099999998	0.0515883	0.07783296690000001	0.007188491	-0.0247560671	-0.0540388849	0.038280981	-0.09425757230000001	-0.0448957913	-0.058334020800000004	0.1193534338	0.0282665627	0.0060570002	-0.0770281986	-0.060245592	0.059520308499999994	-0.0661409741	0.16317282789999998	0.1129549527	0.0515981618	0.0506922404	-0.0073246996	-0.0055441123	-0.1195273367	0.0947416833	0.0426635719	-0.0127521999	-0.0232046129	-0.07512238660000001	0.0265960698	-0.1235659523	0.010024593100000001	-0.0071012877	0.0678231715	0.077686514	-0.018650454099999998	0.0740339745	-0.0125161422	-0.005112350999999999	-0.0907987391	-0.1038502458	-0.0614940456	-0.043783745	-0.049083696100000004	-0.1457045934	0.11606398679999999	-0.04504216849999999	-0.0485601814	0.0692127504	0.0783702038	-0.125683254	0.058652637800000004	0.0280286059	0.0178213257	-0.029645112400000007	-0.042747909699999996	-0.06568936759999999	0.10491800109999999	-0.0804316142	0.054783784800000006	0.1301351012	0.0697592865	0.0696098349	0.0222673868	0.0024475195	-0.0294174715	0.0321387536	-0.09106062720000001	0.08942682980000001	0.0893791676	0.08929974939999999	0.0891886034	0.0890457691	0.0888712973	-7.479099999999997e-05	-0.009270931	5.593693680999995e-09	8.595016160676099e-05	-0.0827662	-0.043716299999999986	0.006850243862439999	0.0019111148856899996	0.111312	0.018999199999999997	0.00036096960063999975	0.012390361344000001	-0.000293088	-0.000293088	8.590057574400001e-08	8.590057574400001e-08	0.000802416	-0.00026064400000000003	6.43871437056e-07	6.793529473599999e-08	2.64698e-23	2.64698e-23	7.0065031204e-46	7.0065031204e-46	0.0	-2.166811632	1.590494661	-0.3216839495	1.458499834	-2.071101197	-1.480825775	-1.53080284	1.102109177	-0.1122808716	-1.185234771	-0.6595355279	0.8452091729	-0.2440538298	-0.5253029216	-0.4068461331	-0.9829767533	-3.170866314	0.7523232527	-0.5780212904	0.5209024369	-0.09388408279	1.352148417	-2.344696697	0.7967341864	0.9889230962	-0.1599634629	-1.803817337	-1.333966963	-0.5722653449	0.1457519296	0.2657839196
3942.983699214512	2.1730985145186423	4.72235715380313	15547120.452271355	3364.4787060891026	2.9257273758685187	8.559880677906486	11319716.963727005	4537.845297599051	1.729747834090631	2.9920275695412286	20592039.944941826	4412.9971251756515	2682.208190163549	1.109358	10.912109	0.030580048700000008	0.016812099999999996	0.0038397376	-0.0220292255	-0.0539354735	0.027242371	0.0509422338	0.054642409100000004	-0.09177341789999999	-0.11334763640000001	-0.0261033371	-0.0543968871	0.087423216	0.0191697033	-0.054175150400000004	-0.0414660664	-0.09199062390000001	0.0707783866	0.0036264058000000004	-0.011285368899999999	0.0058887009	-0.0823163921	-0.2139847078	-0.0286392291	-0.0666195826	0.052988927400000004	-0.110443913	-0.057683163499999995	-0.0956683165	-0.0517185198	-0.0488651054	0.0270143198	0.1003255256	0.048974797599999995	-0.0018329582999999999	0.1339723465	0.08811692970000001	0.012304561	0.0293097684	0.0680305397	0.0368896776	-0.0558393906	0.0357553157	0.0083579803	-0.1115047468	-0.023881519900000002	0.0171070405	-0.029214328799999998	0.0271730896	0.1965105487	0.0910178965	-0.0796171639	0.0544419292	-0.0752015801	-0.11747442699999999	-0.0616825204	-0.0308465388	0.0326933565	-0.0982972394	-0.0343625411	0.011988299499999999	0.033757897200000005	-0.0339461943	-0.0741078577	-0.10576418800000001	-0.0738803059	-0.0329063807	0.1313209923	0.08939858449999999	0.0892662243	0.0890457691	0.0887374365	0.0883415308	0.0878584426	-6.97493e-05	5.041699999999962e-06	4.864964850490001e-09	2.541873888999962e-11	-0.0780286	0.0047375999999999955	0.00608846241796	2.244485375999995e-05	0.120979	0.009667000000000007	9.345088900000016e-05	0.014635918441000003	6.56914e-06	0.00029965714	8.979440155297959e-08	4.31536003396e-11	0.000778665	-2.3751000000000024e-05	6.06319182225e-07	5.641100010000011e-10	-8.27181e-25	-2.7296980999999995e-23	6.84228406761e-49	7.451251717143606e-46	0.0	-2.106682874	1.244172812	0.1488821611	1.934298718	-2.424767837	-0.9939263377	-0.5070189651	1.689887615	0.1508004271	-1.512257267	-1.700833761	1.128549858	1.690720614	0.3781206516	-1.819911257	-1.628701246	-2.193925905	1.559417021	-1.04278796	0.8093994529	1.393011778	0.4636711095	0.1246982277	0.04758663493	-2.099870851	0.3825444082	-1.297565541	-1.731979577	-0.0416206591	-1.360691402	-0.4123419963
3947.515469576244	4.531770361732014	20.536942611472718	15582878.382543756	3371.090886011889	6.612179922786254	43.720923331297634	11364253.76175242	4536.759937300784	-1.0853602982670054	1.178006977054243	20582190.72869741	4413.118589691573	2650.941868143799	1.148816	11.300241	0.04379490689999999	0.0245265	-0.056209080300000006	0.0103313282	-0.005474436500000001	-0.02279209	-0.0239525208	-0.07572928849999999	0.0777028068	-0.0577305425	-0.0107325609	0.0297501711	0.057146649	-0.1167368353	-0.065137099	-0.0384610598	-0.15620122820000001	-0.0589838954	-0.0571840749	-0.0199163662	-0.0081952674	-0.0717937897	0.006002505	-0.1486237921	0.0817408105	0.0734549286	-0.0129146175	-0.1050446984	-0.1025515219	-0.07005969179999999	-0.0698095881	0.0944572519	-0.017417161100000002	-0.1464191614	0.1265826408	-0.013892985900000002	0.023470245499999997	-0.1144215333	0.0971008223	-0.08068072309999999	-0.0582960219	-0.0659561917	0.0375035013	0.12231727490000001	-0.08404986140000001	-0.0920175773	-0.0202036479	0.0352904111	-0.045959923	0.0925590121	-0.1187985955	0.039073676099999996	0.0794092763	0.0077849613	-0.1055549152	-0.1458932462	0.012024391899999999	0.0705777752	-0.0101980578	0.0607899691	0.12017720929999999	-0.08560504710000001	0.0020042906	0.1287631256	0.009441556700000001	-0.09111662429999999	0.06085464	-0.021907237200000002	0.08935622210000001	0.08909689859999999	0.08866525	0.08806211119999999	0.08728864880000001	0.08634635869999999	-5.87994e-05	1.0949900000000008e-05	3.45736944036e-09	1.1990031001000018e-10	-0.0992308	-0.02120219999999999	0.009846751668639998	0.00044953328483999963	0.129681	0.008701999999999988	7.572480399999978e-05	0.016817161760999996	-0.000208988	-0.00021555714	4.64648806049796e-08	4.3675984143999997e-08	0.000716627	-6.203800000000005e-05	5.13554257129e-07	3.848713444000006e-09	0.0	8.27181e-25	0.0	6.84228406761e-49	0.0	-2.241094459	1.331976456	-0.7005611559	1.503453001	-1.32520371	-1.706213113	-0.3561266434	2.125717687	0.1103212683	-1.677233096	-1.283072353	-1.634519566	1.425076114	1.509229411	1.757815119	-0.2143518888	-1.186281768	0.7018075354	-0.5051316179	1.219824043	-0.5861891631	1.532427589	-0.5187771093	-1.468450043	-0.6289698687	-1.433947748	-0.1908213551	-0.6506874829	0.3279716476	-0.1581474773	1.919095554
3950.2351340471587	2.7196644709147213	7.396574834355857	15604357.614260573	3392.938300017945	21.84741400605617	477.30949875201935	11512030.307728665	4545.079325760043	8.319388459258333	69.21222433604075	20657746.077451363	4419.982934617671	2667.910047282673	1.241011	12.207101	0.07091360000000001	0.050581699999999986	-0.0249113761	-0.060816545	0.0883770376	-0.0787433905	0.1234211855	-0.06499378480000001	0.0598773092	-0.029808165499999997	-0.0606504137	0.1091668903	0.1263428644	0.012361279199999999	-0.0053790156	-0.059390555	-0.1548412807	-0.0212342446	-0.0367964607	-0.0361759081	0.0579067956	-0.1313517246	-0.0752819644	0.0547491815	-0.0383806934	0.0198437542	-0.0738917311	0.051387826399999996	0.071101821	0.1259161331	-0.1408489073	0.041405197799999995	0.0107912319	-0.0292673101	0.0825107228	-0.1900272947	0.0400075968	-0.1903323656	0.0065641965	-0.038700334100000004	-0.030708054900000007	-0.0058312123	0.0779485635	0.11034714529999999	-0.1042417605	-0.040625726800000005	-0.08244102610000001	0.0359494491	-0.059589678	0.1137786883	0.1108762091	-0.043560612	0.0137836185	-0.06477390200000001	0.0187395208	0.08982604849999999	-0.0726274192	0.1414383387	0.046997388	-0.0416222345	0.1829266406	-0.0280939557	0.1142637432	0.0287588356	0.1391279763	-0.0141441754	0.0586449012	-0.032532185899999996	0.08929974939999999	0.0888712973	0.08815873269999999	0.08716433330000001	0.08589127839999999	0.0843436376	-5.87994e-05	0.0	3.45736944036e-09	0.0	-0.0590761	0.0401547	0.00348998559121	0.0016123999320899994	0.0989221	-0.030758899999999995	0.0009461099292099996	0.00978558186841	-0.000208988	0.0	0.0	4.3675984143999997e-08	0.000716627	0.0	5.13554257129e-07	0.0	0.0	0.0	0.0	0.0	0.0	-2.217373282	1.760506271	-0.04310000347	1.575057758	-2.025695471	-1.319154094	1.722775314	1.638842582	-0.5291682511	-0.3947557517	-0.9021963821	1.14128886	1.609008813	0.6827972613	-0.5447311629	0.3237135847	-4.206654888	1.134289558	-1.633721453	0.5909337758	-0.75405811	1.846780633	0.00486135252	-1.326629479	-0.3575210931	0.7297526715	-0.1180138118	-1.138231828	-0.9286561949	1.077134226	-0.05830090685
3948.0718041728887	-2.1633298742699485	4.679996144908829	15587270.970904967	3386.1855121251533	-6.75278789279173	45.60014432503457	11466252.322526287	4556.383093909367	11.303768149324243	127.7751743736772	20760626.898463093	4432.3900905366445	2664.474616015539	1.429704	14.06317	0.028547974700000006	0.017570500000000003	0.0614272973	-0.019994636399999998	0.0331249595	0.116370461	-0.1372050654	0.0600317285	-0.0057513889	-0.009651939	0.0195022981	0.0649577021	0.1901012675	-0.073502805	0.08306235719999999	-0.0685640841	-0.0630311363	0.0603192663	-0.1179670576	0.1561817543	0.06689833490000001	-0.0978969013	-0.0018160446	-0.056174688099999995	-0.09928592369999999	0.0980342595	-0.0957289031	0.0634144715	0.0049440335	-0.062283403	0.0488930563	-0.0031908884000000004	0.0712835382	-0.06270153099999999	-0.1160981816	0.1083076481	-0.036791313900000004	-0.0541333769	0.0672279529	-0.0679199251	0.0573381938	0.0843736305	0.0749985038	0.0078039975	-0.0506766425	-0.0757029498	-0.1302753282	-0.18419862609999998	-0.0557089587	0.0789645499	-0.0510105236	-0.0761492981	0.1388264035	-0.12101232349999999	0.0007516452000000001	0.0462217854	0.0629246737	-0.034099280499999995	-0.0175702591	-0.0376406743	-0.17092632010000006	-0.036221271299999996	-0.1599778214	0.0347170605	0.0065335348	-0.08198259349999999	0.1452095993	0.0366589	0.0892291752	0.0885895631	0.08752693689999999	0.0860463708	0.0841549343	0.0818616591	-1.58847e-05	4.2914700000000004e-05	2.5232369409000003e-10	1.8416714760899998e-09	-0.0573145	0.001761600000000002	0.00328495191025	3.103234560000008e-06	0.09892260000000004	5.000000000421334e-07	2.500000000421334e-13	0.009785680790760008	-1.21198e-05	0.0001968682	3.875708817124e-08	1.4688955204000002e-10	0.0004499830000000001	-0.0002666439999999999	2.0248470028900004e-07	7.109902273599996e-08	-7.134699999999999e-05	-7.134699999999999e-05	5.090394408999999e-09	5.090394408999999e-09	0.0	-2.000005431	1.17138182	0.07696122734	1.212852139	-1.606657937	-1.104684303	0.3737478118	3.810231976	1.151464602	-1.907792563	-1.247399967	-1.24903745	-0.3556120767	-0.1993458913	-1.326646227	-0.3910764326	-3.141861098	2.810480181	-0.05210604458	1.908885818	2.285969077	0.4747714329	1.099120911	1.870138434	-0.1506245507	1.976425448	0.07522740952	-2.617773829	-0.9542294495	-1.006588335	-0.4589682195
3959.581127732267	11.509323559378116	132.46452879445619	15678282.70709353	3402.942196550525	16.75668442537153	280.78647293148885	11580015.59306411	4558.484346194008	2.101252284641305	4.415261163710302	20779779.534495816	4434.4606754017095	2711.2873029947154	1.418083	13.948857	0.07178198529999999	0.043431300000000006	-0.0087102193	-0.047921313099999995	-0.0935117786	0.0843753761	0.0458849954	0.007581925600000002	-0.0167877608	0.1147269891	-0.069751156	0.0410860683	0.18126554260000002	-0.0859431831	0.10228167199999999	-0.021609238700000002	-0.0037524798	0.027446993700000002	-0.0336499834	-0.011098415700000001	0.1059227129	0.053803535	-0.1271558682	-0.0919453466	-0.0758340597	0.0331668375	-0.08498247939999999	0.1357691367	-0.0436375878	-0.11247694550000001	-0.0212480045	0.021995334300000002	-0.0587230996	0.0814688176	-0.1528181745	-0.015497863600000003	-0.052675873399999996	0.061408957	0.2153975626	-0.0439037479	0.0136542526	0.099812489	0.0210477118	-0.0171852676	-0.016345294399999998	-0.0487336621	-0.08847814279999999	0.0027548063	0.0973178657	0.1357407785	-0.024939467799999997	-0.0938707567	0.0167343052	-0.1434322366	0.0527458247	-0.0205801976	0.1315697303	0.0469917617	-0.1066743816	0.051040481299999996	-0.2070059506	0.0066532132999999995	-0.0833985515	-0.0541878807	0.1167274264	-0.0475729436	-0.00015584639999999999	-0.0502476066	0.0891445106	0.0882518737	0.0867707607	0.0847110477	0.0820864692	0.0789145263	-0.00952698	-0.0095110953	9.076334792040002e-05	9.046093380568211e-05	-0.053578	0.0037364999999999968	0.002870602084	1.3961432249999976e-05	0.0662142	-0.03270840000000004	0.0010698394305600023	0.00438432028164	0.000399846	0.00041196580000000003	1.6971582036963998e-07	1.5987682371599998e-07	0.0003755430000000001	-7.444e-05	1.4103254484900005e-07	5.5413136e-09	-0.000101461	-3.0114000000000014e-05	1.0294334521000002e-08	9.06852996000001e-10	0.0	-1.794971057	1.593220505	0.7147709563	2.115615541	-1.392518422	-1.567175351	-1.295754659	3.304256112	-0.2810960624	-0.4297444628	0.2215960935	0.9825123895	-0.915154751	0.751354647	0.4518352351	-0.1676748901	-2.466814427	1.646948388	0.3604704036	0.8234003067	2.597111515	0.4135497346	0.9231351306	1.107469779	-1.047359539	2.475386224	1.583678138	-0.8913671996	0.2764444601	-1.164572669	0.5529853317
3942.824805934509	-16.756321797757664	280.7743201900087	15545867.450292498	3367.515297441321	-35.426899109203994	1255.0651804937186	11340159.278501308	4550.11426819148	-8.370078002528317	70.0582057684084	20703539.853599686	4418.330424691309	2669.45442722908	1.496362	14.718843	0.05318347	0.033400400000000004	-0.0616006992	-0.0986541657	-0.09053686	-0.060762310800000004	-0.06856894870000001	0.06182321320000001	0.0043941515	0.0747458482	-0.0062293048	-0.1416738059	-0.1031821507	-0.026354057799999997	0.0495346079	0.1368833061	-0.0801863394	-0.023333354700000003	-0.1497123005	0.021624730499999998	-0.10746568529999999	0.074083241	0.017853526	0.1777560639	0.0725768381	0.0500772675	0.0516553871	0.0459580151	-0.0039201897	0.10910423960000001	0.10803977570000001	-0.007715569	0.0703370255	-0.129160016	-0.008280967	0.17385436699999998	-0.216837597	0.1746176605	-0.0154283518	-0.0736336154	0.218587507	0.049648462000000004	-0.1780006725	0.0580924936	-0.0450393208	-0.1531404197	0.12148622490000001	-0.0755708727	-0.0355849719	-0.1378090074	0.1412782665	0.12660278560000002	0.0530518045	0.0401216454	0.12107579289999999	0.045673775599999994	-0.0315641559	-0.21621655780000001	0.0521405287	-0.009044858499999999	0.0106019121	-0.1620097026	-0.3183473691	-0.2003971	-0.1647988381	0.1416151614	-0.0528015227	0.09365115380000001	0.0890457691	0.0878584426	0.08589127839999999	0.0831617371	0.0796940463	0.0755189855	-0.0108276	-0.0013006200000000006	0.00011723692176000005	1.6916123844000016e-06	-0.0248683	0.028709699999999998	0.0006184323448899999	0.0008242468740900001	0.058756399999999986	-0.007457800000000007	5.561878084000011e-05	0.0034523145409599987	0.000197397	-0.000202449	4.098559760099999e-08	3.8965575609e-08	0.000365146	-1.0397000000000045e-05	1.3333160131600001e-07	1.0809760900000092e-10	0.0	0.000101461	0.0	1.0294334521000002e-08	0.0	-1.869057046	1.02923172	2.465429827	1.61774641	-2.659365445	-0.4549063167	0.02456047362	-0.5346473013	0.7009488248	-0.1846093824	-1.345348733	-1.129302122	-0.2484824596	-0.0322683395	-0.189921944	-0.08400251094	-1.872268094	1.872868203	-1.500378007	1.518357248	-0.4979742912	-1.345423799	-0.1964002663	-3.278382445	-0.6474759414	-1.138766541	0.979195848	-2.804914461	0.9219015241	0.3779062271	-1.818374393
3939.4385204087534	-3.3862855257557385	11.466929661942814	15519175.856080307	3368.0443799951195	0.5290825537986166	0.279928348734066	11343722.945616707	4543.852402436787	-6.261865754692736	39.210962729793614	20646594.65513056	4418.69458123514	2636.3796191123665	1.419349	13.961317	0.07188272	0.0429277	-0.0746563683	-0.0045477134	0.0142836969	0.0387887482	-0.09789752369999999	0.0367994992	0.08408831480000001	0.0309804504	0.0813256168	-0.0105246599	-0.1570280526	-0.0027778628	0.0092304149	0.187461617	0.0029137109000000002	-0.0126670921	0.0252163527	-0.0163476126	-0.1549419269	-0.1492234841	-0.037976877799999996	0.0575855378	0.1957846957	-0.1112239056	-0.011457247700000001	-0.0371212426	0.0797286292	0.0860746375	-0.08224167639999999	-0.083093523	0.1595389976	-0.1958074539	-0.1423544528	0.013213049	0.1109690631	0.0652393701	0.0176412602	0.0770811188	0.0083651848	0.008847190999999999	-0.1756703818	0.0443624042	0.0178842149	0.06888566110000001	0.1003313947	-0.0169557953	-0.143292104	0.0660117235	0.0560173423	0.1651811091	-0.1080593369	-0.0095607231	0.0020212518	0.006019371700000001	-0.1437208699	0.10320234519999999	0.05863849	-0.2591343096	-0.0512665121	-0.18186253489999998	-0.0444668613	0.059252394000000014	-0.021881149500000002	-0.0781493335	-0.10058236039999999	0.0307380992	0.08893296630000001	0.0874095183	0.0848897399	0.0814023527	0.07698710730000001	0.0716943307	-0.00716098	0.0036666200000000015	5.12796345604e-05	1.3444102224400011e-05	0.013509299999999998	0.0383776	0.00018250118649	0.0014728401817599998	0.073517	0.014760600000000006	0.00021787531236000017	0.0054047492890000005	0.000197397	0.0	0.0	3.8965575609e-08	0.000302671	-6.247500000000004e-05	9.160973424099998e-08	3.903125625000005e-09	-0.000239083	-0.000239083	5.7160680889e-08	5.7160680889e-08	0.0	-2.11046014	0.7421825107	0.579506119	2.599235061	-0.7978782473	-1.195280319	-0.2703936609	-1.825964739	-0.2889856139	-2.881798005	-0.6612429746	-1.213366151	0.4795596686	0.5156079514	3.02685704	-1.067176315	-2.367498764	1.453975262	-0.4449916119	-0.02977572486	2.01725033	0.2382308407	0.9126873925	-0.2681044086	-1.406334217	-0.8705524683	-0.6272815646	-1.466359575	-0.08040476806	-1.16310068	2.750404206
3940.9022953957347	1.463774986981207	2.1426372125118323	15530710.90185537	3391.196023056284	23.151643061164574	535.9985764315701	11500210.466792755	4532.358482840169	-11.49391959661807	132.1101876935209	20542273.41697324	4408.944831920588	2658.3217119488	1.402611	13.79667	0.14203881999999998	0.08094739999999999	-0.0098530803	0.0011124037	0.0954788632	0.005471789300000001	0.0116684342	0.14146685039999998	0.02691151	-0.0251614291	0.12219686960000001	0.0548882883	0.18628189039999998	0.07814057519999999	-0.10361486269999999	0.0444276024	-0.06758059940000001	-0.051184224800000004	-0.08500881449999999	0.032547467000000004	0.1640629645	0.0628626677	0.0797104995	-0.0423519443	-0.0104612451	-0.12462946820000001	-0.0024154257	0.2112940032	0.0152459165	-0.0725415865	-0.0853597542	-0.0082954608	-0.09664325619999999	0.0710497227	-0.0391529746	-0.043996698499999994	0.1310035111	-0.0127058909	-0.0222089361	0.0310008397	0.0355882441	-0.1024844488	-0.0379014901	0.0828572119	-0.0132609298	-0.07095188820000001	-0.1907862989	0.0061909632	0.0477268194	-0.046224931399999995	-0.0749661458	-0.014334905600000001	-0.12503300779999998	-0.0879137104	0.15256682970000002	0.021085410899999997	0.1300576427	0.0989248795	-0.0485528743	-0.001004898	-0.037162718	0.0207297205	0.13452343890000001	-0.0576126458	0.07421420849999999	-0.0568154638	-0.0189899442	0.054843342	0.08880611990000001	0.0869053842	0.08376756839999999	0.0794373389	0.0739763355	0.0674622944	-0.0263051	-0.01914412	0.0006919582860099999	0.00036649733057439986	-0.0556476	-0.0691569	0.00309665538576	0.004782676817609999	0.107345	0.03382800000000001	0.0011443335840000007	0.011522949025	0.000354663	0.000157266	2.4732594756000004e-08	1.2578584356900002e-07	0.000304518	1.8470000000000248e-06	9.2731212324e-08	3.4114090000000922e-12	0.0	0.000239083	0.0	5.7160680889e-08	0.0	-1.746584628	1.627343441	-0.2938779569	1.874517657	-2.377639681	-1.849302423	1.626694831	3.176325114	-0.5072150825	-0.3741140452	-1.037455642	0.1962340189	0.8491149913	3.06683804	2.00545115	-1.329602061	-2.825350854	1.412954888	-0.9687750176	-0.2925514926	0.5557575044	1.146124287	-1.863021806	-0.7260396959	-0.9730749786	-1.294467559	-0.9371697064	0.1670679264	-0.1174458895	-1.534959729	2.886837939
