global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	aroma_motion_03	aroma_motion_04	aroma_motion_05	aroma_motion_07	aroma_motion_08	aroma_motion_09	aroma_motion_11	aroma_motion_12	aroma_motion_15	aroma_motion_16	aroma_motion_18	aroma_motion_19	aroma_motion_21	aroma_motion_22	aroma_motion_23	aroma_motion_25	aroma_motion_26	aroma_motion_33	aroma_motion_34	aroma_motion_35	aroma_motion_36	aroma_motion_39	aroma_motion_43	aroma_motion_45	aroma_motion_46	aroma_motion_49	aroma_motion_50	aroma_motion_51	aroma_motion_53	aroma_motion_54	aroma_motion_55
3961.617133866082	n/a	n/a	15694410.31534131	3650.845244983641	n/a	n/a	13328671.00281966	4495.671419729763	n/a	n/a	20211061.514175028	4407.350942946317	2626.7066239875685	n/a	n/a	n/a	n/a	-0.0826250959	0.0545840724	-0.10614562460000004	0.0120051884	-0.0631637246	-0.0121658924	0.0523472482	-0.0087970425	-0.0815659583	-0.0409988822	-0.0051253417	-0.0185054694	0.0207495568	-0.0987492289	0.0382547727	-0.0223463833	0.0558583557	0.0027856553000000003	-0.0711747249	0.0852968876	-0.0191201228	0.0071906845	-0.033476628	0.0204201161	0.0406042103	-0.0301424762	0.1187675482	-0.06881356450000001	0.1539458929	-0.0802939052	0.0318027279	-0.02110386	0.028760161200000002	-0.06505699849999999	0.0234325833	-0.092821559	0.048911759699999995	-0.09417338289999999	-0.0412753748	-0.0108043368	0.00010992459999999999	-0.10199264720000001	0.0037801918	-0.0216858662	0.0238640982	0.018236788700000003	-0.08618009689999999	0.0713930166	-0.0004727164	0.0081977572	-0.0067978718999999995	0.0462337633	0.0883006458	-0.1199736159	0.0678714291	-0.0053726283	0.1351825145	-0.0118457622	0.066529387	-0.023698313500000002	0.037442637200000004	-0.006715020600000001	0.12693205970000002	-0.0723804134	0.0799255915	-0.0041834496	0.0894409536	0.08943565710000001	0.08942682980000001	0.0894144721	0.08939858449999999	0.0893791676	0.0190579	n/a	0.00036320355241	n/a	0.06850189999999999	n/a	0.0046925103036099996	n/a	-2.10806e-06	n/a	n/a	4.4439169636e-12	-5.65512e-05	n/a	n/a	3.19803822144e-09	-0.000580162	n/a	3.3658794624399995e-07	n/a	-0.00167314	n/a	2.7993974596e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6813493673	-0.7962380955	-1.850588592	-0.7771041316	1.512683359	0.6759927603	0.8397774086	0.5432252222	-0.07101157435	1.98233118	0.2176886124	1.470149477	-0.4223762592	0.3487142709	1.515761706	-0.8764851388	-0.938068861	-0.9135147973	2.297646405	2.64911691	0.4681557866	-0.9488607059	-0.9087206819	-0.9127428462	0.6118619435	-1.745455979	-1.183447328	1.454731318	-1.29753644	-3.263444153	0.02146674938
3950.713922813476	-10.903211052605913	118.88001125766769	15608140.499912245	3650.23703039065	-0.608214592990862	0.3699249911270399	13324230.37803515	4489.56594477411	-6.105474955653335	37.276824434110104	20156202.372475445	4400.7640017869	2602.371402420158	1.18301	12.361635	0.04001111987000002	0.0228025	-0.1166202375	-0.0082101368	-0.06699163849999999	-0.043273595899999996	-0.0653253957	-0.10047617810000001	0.021364752	-0.041344831	-0.043903108600000004	-0.030686891299999998	0.0026026931	0.037181711400000005	0.1048889487	-0.09232291990000001	0.0389592529	-0.04358826230000002	0.0429639512	-0.1570839288	-0.0150092751	0.128762973	-0.0178188988	0.0425525659	-0.0145040128	-0.0194307272	-0.020627491799999998	0.0703415591	0.072622628	0.0558107922	0.2119780332	0.0927520159	-0.1317268338	0.0642946516	-0.003024052	-0.0676994387	-0.0279198723	-0.051411499000000006	-0.0971369156	-0.047816442699999996	-0.2100039645	0.0407023803	0.0875674231	-0.0996570887	-0.0175549436	-0.030506167400000006	0.0024913817	0.12155957279999999	0.012819952800000001	0.1687643077	0.023172415099999996	-0.028486998	-0.0207389624	0.0259597263	0.0716737478	-0.1022491165	-0.04956894480000002	0.0251371226	0.16312423980000001	-0.1233310643	-0.1402272125	0.11303797609999999	0.0675124632	0.0011772861	0.0001245439	0.0637289068	0.1317069106	0.0909389336	0.08942682980000001	0.0893791676	0.08929974939999999	0.0891886034	0.0890457691	0.0888712973	0.0266027	0.007544800000000002	0.00070770364729	5.692400704000001e-05	0.0653536	-0.0031482999999999928	0.004271093032959999	9.911792889999954e-06	1.10181e-06	3.2098700000000004e-06	1.03032654169e-11	1.2139852761e-12	0.00025	0.00030655120000000003	9.397363822144001e-08	6.25e-08	-0.0008599069999999999	-0.000279745	7.394400486489999e-07	7.825726502499997e-08	-0.00167314	0.0	2.7993974596e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5880444264	-0.6429516592	-1.832161793	-2.224896738	1.622601123	0.8408158703	0.9286563902	-0.2696118095	-1.34478382	1.080351868	0.1809757621	0.3990584063	-0.6566109556	-0.08428348213	0.3589968	-0.5952161472	-0.6642298436	-1.702939086	2.540376977	1.628073456	-0.9492487603	-0.7858218809	-0.9895724326	-0.3043532485	1.227929342	-1.650832383	-0.6260418566	1.699374608	-1.013890431	-2.024777418	0.4538798031
3960.8179083317295	10.103985518253467	102.09052335307577	15688078.502961338	3664.0782437444877	13.841213353837702	191.57918710645512	13425469.37628169	4494.355206744845	4.789261970735423	22.937030224332556	20199228.724394504	4406.945310067255	2602.3002187664456	1.106086	11.557834	0.09837496319	0.0631996	-0.1266209688	-0.0646136549	0.014748221799999999	-0.0425219583	0.010614343899999998	-0.0806792427	0.0099637564	-0.0854932284	-0.0422651649	-0.0153379647	0.005707787	0.0430710733	0.1126476418	0.019053374799999998	-0.0498115288	0.0025565313	-0.0336976976	-0.1258362332	-0.089725556	-0.0333580484	0.0244066085	-0.1294264266	0.0126374746	-0.0845896574	-0.016774889299999998	-0.0378155776	0.0365244572	0.0357207193	0.0488846209	0.0770747988	-0.0757289572	0.0567021104	0.024535548900000002	0.0182668557	0.0422517533	-0.0524468175	-0.0595858458	0.00122329	-0.037135919100000005	0.0434990017	0.1068083923	0.0175486585	-0.0155498119	0.025013103	-0.0411044566	0.1529629928	-0.0165963219	-0.052494656900000006	-0.1483473653	0.012138675500000001	0.0602257282	-0.051159045300000004	-0.0081440616	-0.0482324934	0.0212027559	0.0384633334	0.0162307754	-0.0495788813	-0.1068309411	0.0738862814	0.0511232372	-0.008071443499999999	-0.0047065529	-0.043479482	0.060557916600000004	0.0472884446	0.08939858449999999	0.0892662243	0.0890457691	0.0887374365	0.0883415308	0.0878584426	0.0198322	-0.0067705	0.00039331615683999997	4.5839670249999984e-05	0.0040491	-0.0613045	1.6395210810000002e-05	0.00375824172025	0.00947259	0.00947148819	8.970908853330949e-05	8.972996130809997e-05	-8.737549999999999e-05	-0.0003373755	1.1382222800025001e-07	7.634478000249998e-09	-0.000834973	2.493399999999989e-05	6.97179910729e-07	6.217043559999948e-10	-0.00161888	5.4259999999999985e-05	2.6207724544e-06	2.9441475999999984e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6950258349	-0.5549842268	-2.034600665	-0.6982156881	1.119920684	0.8929700973	0.5037866716	-0.4577261986	-0.8364372236	2.156208069	0.6685600715	0.7212511256	-0.6681872048	0.6880133592	0.2309240837	-0.5035685947	0.5416893744	-1.162495685	1.22583535	1.634625008	0.4160342069	0.8381930493	-0.9611731637	1.563754391	1.148162429	-1.84283449	-1.114059549	0.6994006103	-2.199737749	-1.488184522	-1.349400321
3969.637634137063	8.819725805333292	77.78756328126198	15758022.946357295	3664.702871924696	0.6246281802082194	0.3901603635102318	13430047.139493115	4497.440862856715	3.0856561118698664	9.521273640719864	20226974.31489336	4410.870634934752	2654.026619736982	1.005585	10.507667	0.1137384851	0.0728893	-0.09774162480000001	-0.009835148	0.08406913099999999	0.0185388286	0.017040273600000003	-0.0212628704	-0.09941927880000001	-0.0178450091	0.0347056087	0.0375328306	0.0461288596	0.0203620474	0.040433759300000004	0.041383266099999996	0.0983533005	0.0205544434	-0.00651314	-0.11883930949999999	-0.0554625114	0.0730992215	-0.029238713	0.0469350465	-0.0040573614	0.010649601100000001	-0.0337850378	0.08692210410000001	0.1435247638	0.0804732745	0.1296831276	0.0019528848999999999	-0.08587336960000001	0.0496424008	0.015001970600000001	-0.0069374282	0.0759480885	-0.011644103000000001	0.023219481200000003	-0.0237174359	-0.0084772506	0.0193795297	0.0177347559	0.0110689278	-0.11035257710000004	0.039928629199999996	-0.0041630549	0.1048610764	-0.00438136	0.0634598754	0.050150424000000006	-0.0264371877	-0.012878734	0.046949756100000004	0.090568999	-0.15257183189999998	-0.0712966183	0.0840635458	0.0932577654	-0.0489393864	-0.09309510859999999	0.041500317	0.044067064	-0.023417321499999998	-0.0194345836	-0.0575676691	0.0821738518	0.0025311439000000003	0.08935622210000001	0.08909689859999999	0.08866525	0.08806211119999999	0.08728864880000001	0.08634635869999999	0.0197941	-3.810000000000272e-05	0.00039180639480999993	1.451610000000207e-09	0.0720268	0.06797769999999999	0.00518785991824	0.00462096769729	4.96449e-05	-0.0094229451	8.8791894357614e-05	2.4646160960099997e-09	-4.29717e-05	4.440379999999999e-05	1.971697454439999e-09	1.8465670008900003e-09	-0.000580162	0.0002548110000000001	3.3658794624399995e-07	6.492864572100004e-08	-0.0011921	0.00042678000000000014	1.42110241e-06	1.8214116840000008e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9513715314	-0.2916224551	-2.073877463	-0.7903369955	0.84364382	1.161738332	0.3873251034	0.1251619586	-0.456576861	1.899324325	0.703135332	1.5963785	0.2965044005	0.009585217349	1.301937388	-0.6964967582	0.6538190672	-1.417243812	2.244120971	1.540465106	0.05655173538	1.127782286	-1.347712849	1.205812105	1.997015183	-2.270772721	-1.187263371	0.9402090741	-0.1746225071	-0.4747562779	-0.2595922221
3964.2724537818513	-5.365180355211578	28.785160243948237	15715456.08781358	3652.223986309881	-12.478885614814773	155.72258618763104	13338740.04617724	4490.30080225969	-7.140060597025695	50.98046532919892	20162801.29477401	4403.416192186791	2681.8245628756085	1.086878	11.357119	0.0354181499	0.0232183	-0.071345073	0.0675384147	0.088006519	-0.08457156029999999	-0.0406445106	0.0179857142	0.0075931628	-0.117321038	0.010076716500000001	0.06825376400000001	0.0782850405	0.1168392142	0.1114124218	0.048116116900000006	-0.07300616830000001	0.0592612313	-0.0396750805	-0.0048409782	-0.0439250347	0.016864397	0.010164962	-0.064655343	0.0119917069	-0.0942424769	-0.0268906593	-0.1339297042	-0.0632781187	0.0728362585	-0.006423315	0.0845187532	-0.0095332027	0.012046791299999998	0.0727133559	0.0415929299	0.050000412	-0.0422845966	-0.050421524100000004	-0.1148945654	0.034134428700000004	0.11119364529999999	0.1209930293	0.0676166843	0.0124753632	0.0827044679	-0.011769603600000001	0.043175387999999995	-0.043993974299999995	0.0031703596000000004	-0.0893989755	0.0076678137	0.020286627800000002	-0.10117987390000001	-0.1221525668	0.042869075300000004	0.0353431382	0.0590642614	-0.0220376572	-0.054486844400000005	-0.0363046618	0.08661583789999999	-0.011028703300000001	-0.0287605905	0.015037976399999996	-0.055400601699999996	0.11939811269999999	0.0206039566	0.08929974939999999	0.0888712973	0.08815873269999999	0.08716433330000001	0.08589127839999999	0.0843436376	0.0198005	6.400000000000156e-06	0.00039205980025	4.096000000000199e-11	0.0542441	-0.0177827	0.0029424223848100004	0.00031622441928999995	-0.00258185	-0.0026314948999999997	6.9247654087260115e-06	6.665949422500002e-06	-5.39928e-05	-1.1021099999999997e-05	1.2146464520999988e-10	2.9152224518399997e-09	-0.000580162	0.0	3.3658794624399995e-07	0.0	-0.00148103	-0.00028893	2.1934498609e-06	8.348054489999997e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.14897298	-0.2508492821	-1.793642151	0.03092547075	1.226560418	1.178860827	0.6905558378	0.3013262366	1.080891408	2.19069473	1.029766588	0.9945046332	-0.2530110062	1.601266625	0.158953146	-0.2171819233	1.671106473	-0.4674625127	1.272002096	1.494481947	0.166734931	-0.7609911848	-2.089688697	1.762605837	1.645438416	-2.099668629	-1.459897657	1.241131678	-0.7975449894	-0.8796400654	-0.4187298478
3969.4512432210295	5.178789439178217	26.819860055343838	15756543.172308976	3665.858206091592	13.634219781710724	185.8919490559921	13438516.387169065	4495.6749689086355	5.374166648945903	28.88166717064243	20211093.426071666	4407.551283092181	2674.669007677092	1.132996	11.839026	0.10180079	0.0530279	-0.043581217900000004	0.0958541931	-0.042676096600000005	0.0403282221	0.0095793749	-0.044059278	-0.073469271	0.0692488356	0.0024918262	0.060589161100000004	0.053341472	0.0249039702	0.1001315447	-0.037785361499999996	0.06199753860000001	0.0603261908	-0.0213532975	0.0571501346	0.0101652852	0.010772101000000001	-0.0520039969	-0.0769080209	-0.0503035506	-0.0177212465	-0.0778139353	-0.0499983753	0.10374362699999999	0.0342701829	-0.097018337	0.0061960721	-0.0094093112	-0.1626127158	-0.024246008	-0.0352672002	0.019715026599999998	0.11504745960000001	0.0410045931	0.017264688400000002	-0.0470051492	0.028406427799999998	0.06548368809999999	-0.072699157	-0.0688045122	0.0765392309	0.0005026768	-0.0399681144	-0.0338115921	0.014838586899999999	-0.0412888395	0.0890228253	0.008554064	0.0012357214	-0.0590474666	-0.113694702	0.0136129897	0.048704098099999996	-0.059977690199999996	0.053482186900000006	-0.0183292779	-0.0230380045	-0.1409063776	0.0523975824	-0.0164157348	0.0765550228	-0.0088534928	-0.057351665499999996	0.0892291752	0.0885895631	0.08752693689999999	0.0860463708	0.0841549343	0.0818616591	0.0269638	0.007163299999999997	0.0007270465104399997	5.1312866889999956e-05	0.0965698	0.0423257	0.009325726272040001	0.0017914648804899997	-0.0202507	-0.01766885	0.0003121882603225	0.00041009085049	0.000283386	0.0003373788	1.1382445468943999e-07	8.0307624996e-08	-0.000580162	0.0	3.3658794624399995e-07	0.0	-0.00112555	0.00035548000000000003	1.2668628024999998e-06	1.2636603040000002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8885102814	-0.3004622113	-2.095122143	0.06825212903	1.528060816	1.530996786	0.3232298019	0.366522954	1.128479313	1.69263889	1.767677579	1.083378845	0.04782545467	0.6173844275	1.236212099	-1.69732337	-0.5439658181	-0.787801554	1.618102503	1.281706803	0.6624654981	-1.23592897	-1.881501673	0.3328137872	2.359340641	-1.74974918	-1.615829646	1.02898096	-1.153825491	-0.002271967753	-0.2164503106
3973.6672030113427	4.215959790313264	17.774316953538253	15790031.040287988	3668.909309582069	3.051103490477089	9.30923250960148	13460895.521937976	4503.539771831455	7.864802922819762	61.85512501479428	20281870.47646772	4414.619903310429	2660.6638417182603	1.198843	12.52708	0.04488145	0.0265752	-0.022171690600000002	-0.0244343739	-0.0392522538	-0.1152139191	0.030324006299999998	-0.0596977976	0.014596508000000001	-0.058460761500000014	-0.0337901019	-0.0363345247	0.0222001732	-0.0540271437	0.089459181	0.033729367999999996	-0.060898960999999995	-0.023233059	-0.028552959500000002	-0.0475133862	-0.0150098697	0.0274025068	0.10762854039999999	-0.0199098542	0.072252376	-0.045212493	0.040564939700000004	0.043123853600000005	-0.0427931914	0.1044273639	0.024086257200000002	0.0576665043	0.0772857229	-0.0990101973	-0.0033007582	-0.1457373975	0.1217450764	0.1437119898	-0.070253805	0.1230324867	-0.006675800799999999	-0.0567798666	0.09944943699999999	0.028816041400000002	0.0171956948	-0.0218553016	-0.0320616452	0.0312320672	0.0181581202	0.008170980999999999	-0.042211611100000004	-0.11650264839999999	0.0662526491	-0.04600381059999999	-0.0237551636	0.043555071699999996	-0.0362721879	0.12270505890000001	0.0278138591	-0.1161378793	-0.0066343453	-0.1424982877	-0.1588918751	-0.0564507301	-0.0316150391	0.0738360268	-0.0436793484	-0.0875841179	0.0891445106	0.0882518737	0.0867707607	0.0847110477	0.0820864692	0.0789145263	0.0300273	0.0030635000000000003	0.0009016387452899998	9.385032250000002e-06	0.108462	0.011892199999999992	0.011764005443999996	0.0001414244208399998	-0.0380142	-0.017763499999999998	0.00031554193224999993	0.0014450794016399998	0.000526631	0.00024324499999999995	5.916813002499998e-08	2.77340210161e-07	-0.000580162	0.0	3.3658794624399995e-07	0.0	-0.00112555	0.0	1.2668628024999998e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.429553948	-0.08972424929	-1.933676233	0.1867879794	1.379141206	1.911798433	0.7841141847	0.5424145596	-1.649225766	1.897778783	1.323801628	1.202885753	0.4714939435	0.6431000679	0.5193381639	-0.7093738061	-0.6678743678	0.5453645163	1.155189921	1.007750596	-0.314712464	-1.565626693	-1.181949486	0.7690674739	2.33585029	-1.429020436	-0.733785195	1.449570828	-1.03773927	-1.435650147	-1.227199426
3971.345241898963	-2.3219611123795403	5.3915034074028325	15771583.030353535	3657.807341561581	-11.101968020488131	123.25369392794113	13379554.5479818	4502.109275286839	-1.4304965446162896	2.0463203641591443	20268987.926623788	4414.777108018188	2680.207386481466	1.238681	12.943364	0.07253369999999999	0.0411246	-0.0355574336	-0.0531906195	0.0414249056	0.1023208801	-0.0327024009	0.0159035005	-0.0853897096	0.0235203333	0.0042934799	-0.0945203757	0.0450638791	-0.0397937722	0.0396659127	-0.048867609699999995	0.1095513352	0.026922307700000002	-0.0388126382	-0.06413803629999999	0.0003020455	-0.043114113899999994	0.0261812573	0.0145198387	-0.09615037039999999	0.0748343615	-0.1372933479	0.0326093426	0.0630151312	0.0109664246	-0.0487362495	-0.050530095899999995	0.0628047122	-0.0197832617	0.0140352125	0.0106875245	0.0598841522	-0.0043979056	0.0569221316	-0.058834708799999996	0.0020955181	-0.0386561706	-0.0085795181	-0.0896173556	-0.1022808368	0.0386949952	-0.018088835	0.0567747826	0.0444572134	-0.0444951851	-0.0204953615	-0.0182741856	-0.0877887401	0.09265197619999999	-0.0343994969	-0.1013221489	-0.0861490029	0.0075084127000000014	-0.0814511193	0.0189288546	0.0595623996	-0.023278922	-0.011428019499999999	-0.0265567064	0.0178995062	-0.0516240449	0.0816018563	-0.0209692244	0.0890457691	0.0878584426	0.08589127839999999	0.0831617371	0.0796940463	0.0755189855	0.0197918	-0.010235499999999995	0.0003917153472400001	0.00010476546024999987	0.0823329	-0.026129099999999992	0.00677870642241	0.0006827298668099994	-0.0104733	0.0275409	0.00075850117281	0.00010969001289	0.000354067	-0.00017256400000000002	2.9778334096e-08	1.2536344048899995e-07	-0.000580162	0.0	3.3658794624399995e-07	0.0	-0.00112555	0.0	1.2668628024999998e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9984719699	-0.3405608171	-1.994909806	0.7373917456	1.238851368	1.50638255	0.180498312	0.9658710914	-1.092688015	2.083816646	0.8819658132	1.625560867	0.6994366746	0.3105746881	1.698455972	-1.439391824	0.231182935	-0.6508341162	1.189107541	1.785921434	0.7856760202	1.807336818	-2.136504069	0.3827259986	2.131345857	-1.70411024	-2.011260145	1.252029692	-0.6294166869	-0.4237116616	-1.139382652
3974.0575928264393	2.7123509274761086	7.35684755378051	15793133.751101473	3654.5811598074547	-3.226181754126173	10.408248710656633	13355963.4536196	4505.7328094568575	3.6235341700185018	13.12999988129167	20301628.150215987	4417.132143177805	2674.794232798521	1.196312	12.500636	0.08114715000000003	0.05989019999999999	-0.0519458049	0.0393717871	0.1048936907	-0.0574219969	-0.0480508734	-0.004855483	-0.0067164473	-0.0587932566	-0.017110123799999998	0.052998054	0.1015930957	-0.053729099800000006	0.051334206900000005	0.0272336758	-0.031285962	0.1084392102	-0.0588077288	-0.0322018715	0.0157908561	0.0073810177	0.0690844056	0.0708723763	0.0214700448	0.0350566106	0.0519396608	-0.0410469194	-0.0315092546	0.077689433	0.046847947	0.016120664399999998	-0.017405946000000002	-0.0081659044	-0.052060332800000005	-0.0359188374	-0.021905188399999997	0.0188808292	-0.0370258751	0.0562102478	0.0453026925	-0.0528655381	0.0642349233	0.023096456	0.0204748302	0.1109405088	0.0055791786	0.0041905837	0.0465268421	-0.0036267340000000004	0.0411579104	-0.09352259869999999	0.0014619256	0.0389290978	-0.0440828184	0.0551556486	0.037075094100000004	0.056956248099999995	0.05879520360000001	-0.0162831364	-0.0306598333	-0.0029316828000000004	0.014547021	0.014102035800000001	0.015285228	0.0419237789	-0.0818869975	0.040456498	0.08893296630000001	0.0874095183	0.0848897399	0.0814023527	0.07698710730000001	0.0716943307	0.0197918	0.0	0.0003917153472400001	0.0	0.138269	0.055936099999999996	0.019118316361	0.0031288472832100003	-0.031951299999999995	-0.021478	0.0004613044839999999	0.0010208855716899996	0.000428727	7.466e-05	5.5741156e-09	1.8380684052899998e-07	-0.0005801609999999999	1.0000000000157452e-09	3.3658678592099995e-07	1.0000000000314906e-18	-0.00112555	0.0	1.2668628024999998e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.703926314	-0.1005687127	-1.813490871	0.5789024892	0.6271055075	1.140385734	0.5726981935	0.546038257	0.5726550281	1.363569767	0.8242792341	1.61071449	0.7052253029	1.036374133	0.310081747	-0.6882138033	1.687326998	1.209831603	1.817339217	1.150978209	-0.1446209401	-0.8224919511	-2.157746628	1.359685449	2.517109741	-1.420041687	-1.053850918	0.7422307521	-0.5054951253	0.07671524922	-1.762706868
3971.6855251900065	-2.3720676364328033	5.626704871811904	15774285.911003815	3657.427093457717	2.8459336502623955	8.099338341695843	13376772.943958566	4500.025552370714	-5.707257086143727	32.572783447337784	20250229.97198935	4411.735420588304	2683.410650898539	1.144876	11.963162	0.08154295	0.0536048	-0.0557727161	0.1118862234	-0.0101785173	0.0709078028	-0.0274723777	-0.0053063512	0.0211501935	0.0437866617	-0.0255362055	0.0256113596	0.06401282	-0.021103070499999998	0.0522603766	-0.0467769778	0.0164357713	0.0701461409	-0.0226680825	0.048405025899999995	0.0358167175	0.0276082385	0.0107027852	-0.0453536795	-0.1060929702	0.0243608944	0.1153201109	-0.06324625610000001	0.0175555321	0.008910654399999999	0.0476222009	0.0999011982	-0.022556176	-0.1016287145	-0.0429010124	0.032866239	0.0677242375	-0.1423500476	0.0837509292	-0.016691438200000002	0.0266202979	-0.0141409705	0.0371440149	-0.0695231248	-0.0068661958	0.0774557021	0.011494709799999999	-0.0671928505	0.0044743762	0.000588246	-0.068104285	0.032220551800000004	-0.044622064	0.038636176	0.0262572972	-0.0141131704	0.10809874439999999	0.0463201815	0.0413577185	-0.0916753547	-0.026743893799999998	0.018015116499999997	-0.047618607300000004	0.10873274029999999	0.0472584375	-0.17344630789999999	0.0010964683	0.0008390800999999999	0.08880611990000001	0.0869053842	0.08376756839999999	0.0794373389	0.0739763355	0.0674622944	0.0197961	4.29999999999528e-06	0.0003918855752099999	1.8489999999959406e-11	0.0887807	-0.049488300000000006	0.00788201269249	0.00244909183689	-0.0137076	0.018243699999999998	0.0003328325896899998	0.00018789829776	0.00020383	-0.00022489699999999994	5.0578660608999977e-08	4.15466689e-08	-0.000631397	-5.123600000000008e-05	3.98662171609e-07	2.6251276960000078e-09	-0.00112555	0.0	1.2668628024999998e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9520526119	-0.5481114751	-1.915836462	1.203644509	0.9971177997	0.6618667021	0.5468333062	0.5814179556	0.9717780098	2.554706422	1.164236233	1.303918441	1.052547472	0.8420673335	0.9825844859	-1.426968976	0.3420126947	-0.2703590163	1.512411661	2.516173777	0.8019019072	-1.348668548	-3.004769082	-0.08269407331	0.8806080581	-1.47919243	-1.989511826	0.1708221313	-0.6731696905	0.06957546861	0.09974048879
