global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	aroma_motion_01	aroma_motion_03	aroma_motion_04	aroma_motion_05	aroma_motion_07	aroma_motion_10	aroma_motion_11	aroma_motion_21	aroma_motion_23	aroma_motion_25	aroma_motion_32	aroma_motion_33	aroma_motion_35	aroma_motion_45	aroma_motion_47	aroma_motion_54	aroma_motion_55	aroma_motion_56	aroma_motion_57
4151.506265332222	n/a	n/a	17235004.271092694	3900.0515683162816	n/a	n/a	15210402.235526288	4618.395559650503	n/a	n/a	21329577.545399483	4528.9774619909	2911.4220470745813	n/a	n/a	n/a	n/a	-0.1008081344	0.0350035345	-0.0038342436	0.0262859511	-0.1297641661	0.012243366200000001	-0.0512167556	-0.0055419182999999995	-0.07141309	0.09639897800000001	0.0566525205	0.0914602076	-0.018722558400000002	-0.0441397886	0.0282066249	-0.0205321185	0.0461890955	-0.11174797880000001	0.061256494	-0.1386196742	0.014164728500000001	-0.0038697895	0.0248522204	-0.0854900266	0.0718680413	-0.019834753899999998	0.0919775127	-0.022078634399999998	0.0614148917	-0.1197339484	0.0083017783	-0.046364196399999995	0.0578965156	-0.0500221393	0.0966009169	-0.0426759794	0.051232905599999996	-0.0201317813	0.0408895029	-0.043295869699999996	0.0353957002	-0.035224604799999996	0.15057055519999998	-0.0560921921	0.0964957508	-0.028743108700000002	0.0121034897	-0.0552051609	0.0135128944	-0.0843896158	0.0121416083	-0.0698888303	0.030251629500000002	-0.0474958679	0.1001424142	-0.09036883	0.0687502154	-0.0795244826	0.0106951766	-0.0423096411	0.0665361274	-0.08052536769999999	0.0894409536	0.08943565710000001	0.08942682980000001	0.0894144721	0.08939858449999999	0.0893791676	-5.15756e-06	n/a	2.66004251536e-11	n/a	6.28692e-06	n/a	3.952536308640001e-11	n/a	-0.0240648	n/a	n/a	0.0005791145990399999	0.000204581	n/a	n/a	4.1853385560999984e-08	-0.00040722	n/a	1.6582812840000002e-07	n/a	-0.000400264	n/a	1.60211269696e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4197237793	1.038680209	-1.027777355	-1.072139697	0.5214000553	1.280938595	-1.863220454	0.9397476386	2.557986802	0.8012101057	-1.722351378	0.3214826192	0.2352925535	0.5347709811	-1.281816335	1.283408279	-0.01904442971	0.5733990022	1.551199384
4146.181302561416	-5.324962770806452	28.355228510474713	17190819.393709876	3915.894292713299	15.842724397017268	250.99191631984604	15334228.111704588	4621.355702099518	2.9601424490147115	8.76244331845881	21356928.525327727	4530.500666913902	2898.881638439121	1.279297	12.276412	0.07346930681999997	0.0446899	-0.103508777	-0.0879302595	-0.0704157927	0.034144280299999996	-0.07914868559999999	-0.0427390245	-0.1292393553	0.100274381	-0.02356744	-0.053732062000000004	-0.0810068505	0.027066767000000002	-0.0593516378	-0.0136156404	0.0126391508	-0.02050931	0.0751616824	0.011945251799999999	-0.0539113126	0.0346371632	-0.0636415518	-0.0352640398	-0.0493199453	-0.0866834291	0.041188575299999995	-0.0105213744	0.1692741491	-0.06871494389999999	0.0547911833	0.0340196337	-0.011973641200000001	0.0679180757	0.0364296759	-0.1354709228	0.1550587487	-0.06229142820000001	0.09766582089999999	-0.060581050899999996	0.0083399152	-0.0168141006	0.011087736599999998	-0.0628038921	-0.0406149149	0.048561738300000004	0.009064763	0.09367752970000001	-0.015188686000000003	0.010249537900000001	0.0030956786	-0.0976248992	0.0780461959	-0.08270334509999999	0.17643757440000002	0.038878236499999996	0.042369762699999994	-0.054193886100000005	0.031980985499999996	-0.0860929143	0.030136735	-0.1276075008	0.09333551849999999	-0.033993065499999996	0.08942682980000001	0.0893791676	0.08929974939999999	0.0891886034	0.0890457691	0.0888712973	-2.18513e-05	-1.6693740000000002e-05	4.774793116900002e-10	2.786809551876e-10	0.0171334	0.017127113080000003	0.00029355339556	0.00029333800245510706	-0.058861	-0.0347962	0.00121077553444	0.003464617321000001	0.000184268	-2.0312999999999993e-05	4.1261796899999967e-10	3.3954695824e-08	-0.0	0.00040722	0.0	1.6582812840000002e-07	-0.000403317	-3.0529999999999863e-06	1.62664602489e-07	9.320808999999914e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5439637497	0.7866908748	-1.221790418	-0.6822073411	0.3049104309	0.2433172727	-1.618694692	-0.5502922133	2.019694767	0.06888441513	-0.2035249608	-0.9894391531	-1.297440856	-0.5942119316	-1.35120772	-1.04573962	-0.6577922253	0.8586596388	-0.1762848806
4140.2470711323185	-5.9342314290970535	35.21510265408325	17141645.810019746	3911.561302854632	-4.332989858667133	18.774801115312226	15300311.825989826	4617.277727700221	-4.077974399297092	16.629875201322466	21319253.61471651	4526.277327247198	2883.810480774859	1.192875	11.447082000000002	0.0160352	0.008711909999999998	-0.0687493563	0.0002490169	0.0650208624	0.0153722974	-0.1038491913	0.055777077599999995	-0.0548977187	0.043914481	-0.0748057191	-0.0242628565	0.083234396	-0.020366401399999998	-0.033439164199999996	0.044461004400000004	-0.0191403447	-0.0094459104	0.077856349	-0.0004823699	0.013806536599999999	0.0309564329	-0.0122234254	-0.0443104536	-0.003963520999999999	-0.0299885344	-0.05501101940000002	0.1242693186	0.0297375289	0.0027869484	0.052058608099999994	-0.0738611487	0.054104472699999996	-0.0096552637	0.11010062289999999	0.0054342217	-0.030507621800000002	-0.0938370716	0.0550826363	-0.0342811712	-0.0407373922	0.0170313837	0.0014780741	-0.079403175	0.0028578416999999997	-0.0067818908999999995	-0.0257906882	0.020245571	-0.047710453099999994	-0.007138955	0.0329664182	-0.036883377099999996	0.055434097300000006	0.1553329667	0.0412689907	-0.0578945096	0.0323988842	-0.11157975310000001	0.0306082968	0.025026253199999998	0.0224211813	-0.0836438062	-0.050373689699999995	-0.0524979401	0.08939858449999999	0.0892662243	0.0890457691	0.0887374365	0.0883415308	0.0878584426	-2.18513e-05	0.0	4.774793116900002e-10	0.0	0.0209704	0.0038369999999999997	0.00043975767616000005	1.4722569e-05	-0.0523296	0.006531400000000007	4.265918596000008e-05	0.00273838703616	0.00029760400000000003	0.00011333600000000005	1.2845048896000009e-08	8.856814081600002e-08	-0.0	0.0	0.0	0.0	-0.000403317	0.0	1.62664602489e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4778002306	0.7368347793	-1.409464574	-0.986761581	0.4941413168	2.19229904	-1.677815171	0.08096691488	1.484066665	-0.2003113766	-1.309511996	0.7052559099	1.290407607	-1.235756752	-0.0378089995	-0.4184645205	0.247029641	-0.3662990972	-0.7471370921
4126.824538394123	-13.422532738195514	180.1643851079304	17030680.770691868	3877.025784462038	-34.535518392593985	1192.7020306451975	15031328.93338348	4612.357648172504	-4.9200795277165525	24.207182559055532	21273843.07465539	4521.89087556093	2856.231389119416	1.28925	12.37192	0.0458396561	0.0265775	-0.018943491200000002	0.0808989001	-0.0683379233	0.0147577104	0.011874841399999999	-0.0480528142	-0.07311341639999999	-0.08946030949999999	0.0120643976	0.0186787024	-0.0338209496	0.0068669114	0.0046770647	-0.073607657	-0.052409293499999995	0.039833061	-0.0730815121	0.062751156	0.0405717927	-0.0443875887	-0.0971806476	-0.049734089100000003	0.028440569900000007	0.0160353139	-0.010293814200000001	0.085954774	0.09280247539999999	0.0214480472	0.13470051519999998	-0.0702408624	0.1969767897	0.027880540699999998	-0.018514380100000002	-0.0057974396999999995	-0.00030939490000000004	-0.006719822800000001	0.13780702390000002	0.0023296176999999998	0.0704239208	0.0661376345	-0.0274458115	0.0591692555	0.0140396151	-0.0599666821	0.0137573739	0.0803022591	-0.0029953315	-0.058652986	-0.0169768535	-0.0057600989	0.0154418042	0.09104493720000001	0.10977901300000001	-0.0349115207	0.1611188601	0.0127498229	0.1571128448	-0.0007389777000000001	-0.0639627111	-0.0258390711	-0.021862259	0.08629389679999999	0.08935622210000001	0.08909689859999999	0.08866525	0.08806211119999999	0.08728864880000001	0.08634635869999999	0.00521874	0.005240591300000001	2.7235247187600005e-05	2.7463797173635698e-05	2.5152e-06	-0.0209678848	6.326231040000001e-12	0.00043965219298607104	-0.0439683	0.008361299999999995	6.991133768999992e-05	0.00193321140489	7.220640000000001e-05	-0.00022539760000000005	5.080407808576001e-08	5.2137642009600015e-09	-0.0	0.0	0.0	0.0	-0.000403317	0.0	1.62664602489e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.633998465	0.6351416397	-1.473983499	-1.1852237	0.1283353211	1.206016626	-2.244951043	-0.4034515723	0.8193563742	1.097358947	-0.4542875751	1.42775924	0.8843698428	0.5918764383	0.787081106	0.5202017214	-1.124164923	1.783645372	1.530397762
4116.940331891881	-9.884206502241797	97.69753817895901	16949197.696358033	3884.455120243513	7.429335781475402	55.19503015391072	15088991.581186047	4605.842906364956	-6.51474180754758	42.44186081900831	21213788.87811239	4515.747364978864	2821.587438600692	1.452189	13.93552	0.06317798520000001	0.0342487	0.0252077078	-0.0760394237	7.0158000000000015e-06	-0.0466078472	0.0429872263	0.07074364940000001	0.0052218735999999995	-0.0071311313	0.0563012024	-0.0717666166	0.035403147	-0.0489918134	0.0637636929	0.048736537	-0.0652392097	-0.0752386955	0.0389360454	0.0204331911	-0.021328232000000003	0.0326639402	-0.08866220720000001	0.0713290471	-0.077965566	-0.023912641600000003	-0.1237966812	0.0404574536	0.0924192025	0.0398497874	-0.058459684299999995	-0.06448641769999999	0.1428990013	0.0366660959	-0.11293799449999999	-0.032137540299999996	-0.043826101299999996	-0.0496754045	0.0374274074	0.0627129824	-0.0672815486	0.052887333099999996	0.0751855278	-0.0447345992	-0.0111500007	0.022632804	-0.026368489199999998	0.0757920532	0.0870310215	0.0401975926	0.0660941208	0.033533802	0.1497816523	0.012476048500000001	0.0292668484	0.0783412843	0.0887674365	0.018270003899999998	0.1125711476	0.09599964650000001	-0.0462519297	0.0107077064	-0.058607945599999996	-0.049022813	0.08929974939999999	0.0888712973	0.08815873269999999	0.08716433330000001	0.08589127839999999	0.0843436376	-0.0109304	-0.01614914	0.00011947364416	0.0002607947227396	-0.0245343	-0.0245368152	0.0006019318764899999	0.000602055300158951	-0.0385154	0.005452900000000004	2.9734118410000043e-05	0.0014834360371599998	0.000412989	0.0003407826	1.1613278046275997e-07	1.70559914121e-07	-2.18639e-23	-2.18639e-23	4.7803012321e-46	4.7803012321e-46	-0.000403317	0.0	1.62664602489e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6882265506	0.4753905544	-1.433322301	-1.232331998	0.3083640988	1.13040262	-0.7708517935	-0.284091773	0.2350630819	-0.8893003005	-1.75608485	0.2162470034	-0.659488912	-2.39850573	-1.004177633	0.415931627	-1.423018531	-1.999054266	0.02077452802
4126.676790549217	9.736458657335787	94.79862718600904	17029461.333657585	3875.621798921241	-8.83332132227224	78.0275655825094	15020444.328273514	4601.9731183641825	-3.869788000773952	14.975259170934056	21178156.58214656	4510.589961178042	2802.348160342993	1.408454	13.51583	0.093381005	0.0447046	0.0285894673	0.0065525609	0.09436617	0.03038414	0.028669798399999998	-0.0731586905	0.0944692026	0.0193708798	0.066061233	0.0270051903	0.0034138612	0.0274283931	0.08459762650000001	-0.0424771781	-0.0246167293	-0.054374955700000005	0.0428406654	0.0643561249	-0.035664634900000006	0.0063660048	-0.0087824067	0.0013485825	0.0221847187	0.0704498651	-0.0274184865	0.0798826042	-0.07201497429999999	-0.062230844699999996	0.1312860639	0.0405573529	0.0683651954	-0.048965725999999994	0.0685448169	0.1446504472	-0.0688189904	-0.0036113642	0.0329783738	0.08649909609999999	0.0446547504	0.038425386	0.043247425199999995	-0.0330381724	-0.0887892654	0.0194776311	-0.001048616	0.0139280883	0.0145062786	0.0136034325	-0.0182146438	0.0436900056	-0.0830472352	0.1490130698	0.0975596133	-0.1386586658	-0.0354567914	-0.08661379640000001	0.0194522164	0.1022821449	0.0750014307	0.060567772699999994	-0.0170155901	0.035823492400000004	0.0892291752	0.0885895631	0.08752693689999999	0.0860463708	0.0841549343	0.0818616591	-0.0140032	-0.0030728000000000005	0.00019608961024	9.442099840000003e-06	-0.008719259999999998	0.015815040000000002	7.602549494759996e-05	0.0002501154902016001	-0.07096039999999999	-0.032444999999999995	0.0010526780249999997	0.005035378368159999	0.0	-0.000412989	1.70559914121e-07	0.0	-0.0	2.18639e-23	0.0	4.7803012321e-46	2.46573e-05	0.0004279743	6.079824432900001e-10	1.8316200146048998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6361097195	0.6959537764	-1.550393364	-1.062374124	0.5588890198	2.061649776	-2.833743679	-0.2696084402	0.3994158082	-0.6207918977	-0.2366263624	-0.2659765721	1.001423353	-1.440482697	0.3174860276	0.5299652195	-0.633773851	0.2163419707	-1.948421885
4133.706181154882	7.0293906056649575	49.412332287010756	17087526.792118076	3877.907748392464	2.2859494712229207	5.2255649849843495	15038168.505042307	4612.5218194636855	10.548701099502978	111.27509488665531	21275357.535028588	4522.293023288716	2865.1125548373197	1.271943	12.205839	0.03921859999999999	0.0227875	0.000910111	0.0863652171	-0.0366581488	-0.0495113441	-0.024216328399999997	0.062442190099999996	0.0389811148	-0.09675081320000001	-0.0840587793	-0.0584305153	-0.015579766100000001	0.04040165	0.024831166600000003	0.074995754	-0.0468414695	-0.0850213075	-0.0156915294	-0.051796677699999995	-0.0172235223	-0.0348532547	-0.10704039480000001	-0.0176828583	0.1355685033	0.0174008485	0.058032897300000004	0.0816079096	-0.046946695999999996	0.06735812440000001	-0.052180601900000005	0.0047852837	-0.1044923659	0.0318054737	-0.036613517400000004	0.0974044757	-0.0788577435	-0.0310040109	-0.0021046725	0.0228510302	-0.0787614827	0.0352417966	0.0832974963	0.0136053727	0.0562553375	-0.0105251404	0.030200543	0.123225769	-0.0093149713	-0.11224402730000001	0.0200613851	0.021930455	-0.0532046024	0.0612825172	-0.0792830219	0.0375300159	-0.0349357906	0.0779669791	-0.040490103199999995	0.0081787083	0.016416624299999998	0.0396704855	-0.0464561525	-0.0199540691	0.0891445106	0.0882518737	0.0867707607	0.0847110477	0.0820864692	0.0789145263	-0.0184988	-0.004495599999999999	0.00034220560144	2.021041935999999e-05	0.00806718	0.01678644	6.50793931524e-05	0.0002817845678736	-0.08520329999999998	-0.014242899999999987	0.00020286020040999968	0.007259602330889997	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-4.92159e-05	-7.38732e-05	2.4222048128100003e-09	5.457249678240001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5694598534	0.4719035362	-1.624872343	-0.7451245521	1.150720611	1.501490125	-0.5025336159	-0.7982123185	1.170863833	1.503681426	-1.960840626	2.166986002	1.378059116	-0.1615082547	-0.6488798852	0.5731353366	-1.55616781	1.870434334	0.2951678088
4125.223623224029	-8.482557930852638	71.95378905027094	17017469.941605587	3879.3527799873023	1.4450315948383832	2.088116310081161	15049377.99159521	4608.8468109609275	-3.675008502757919	13.505687495343	21241468.926904712	4517.835604356369	2819.598366638494	1.252115	12.015566	0.024609027999999998	0.0126687	0.014982798	-0.0330278128	-0.07671822360000001	-0.0088573318	0.0161119372	-0.0318315309	-0.0372378665	-0.011825743100000001	0.1537576839	-0.0398130481	-0.0165801008	0.0255453079	0.0173473861	-0.0178524212	-0.07018163059999999	-0.09807270900000001	-0.0034124738	0.1021464912	-0.0746191944	-0.0395744591	0.0695481577	-0.0341921044	0.1212998772	0.0010513368	-0.076992011	0.1162826232	-0.1411882348	0.003288083	0.1019597564	0.0199538571	-0.0618316295	-0.12736219199999999	-0.0461413505	0.035849037	-0.0326814279	-0.0842973361	0.0227645134	0.0184954521	0.0260792602	0.0784769021	0.0924376836	-0.008106949799999999	-0.1103095727	-0.0023167221	0.075655469	-0.045756629800000004	-0.049110026200000004	-0.041983561100000004	0.061296374699999996	0.0542247959	-0.0992211897	0.1690082726	0.0028214946999999997	-0.060936926900000014	-0.0004495911	0.0763046352	-0.13275560050000001	0.060935984299999996	-0.057146226200000004	0.0856241491	0.0188837078	-0.1317621806	0.0890457691	0.0878584426	0.08589127839999999	0.0831617371	0.0796940463	0.0755189855	-0.010106100000000002	0.008392699999999998	0.00010213325721000004	7.043741328999996e-05	0.0005477619999999999	-0.007519418000000001	3.0004320864399986e-07	5.6541647058724e-05	-0.08687669999999999	-0.0016734000000000054	2.8002675600000184e-06	0.0075475610028899985	0.000101475	0.000101475	1.0297175625e-08	1.0297175625e-08	-0.0	0.0	0.0	0.0	-8.82111e-05	-3.89952e-05	7.781198163210001e-09	1.5206256230399999e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5342635499	0.6805526288	-1.951933904	-1.179592749	0.1025807806	0.1595992155	-2.957005611	1.030405744	1.823481227	-0.867040949	-1.242901832	0.787078886	-1.396936983	-1.185716139	-1.068814356	-0.492051537	-1.85637822	-0.09656088634	0.338419939
4126.526282887306	1.3026596632762448	1.6969221983269795	17028219.163359724	3886.253779380861	6.900999393558777	47.6237926298986	15102968.437752025	4609.26799000533	0.4211790444023791	0.1773917874437012	21245351.40368777	4518.034537938237	2840.928362494989	1.21157	11.626489	0.07935310419999997	0.04311	0.023027688799999998	-0.0798312722	0.0620203581	0.0006419681	-0.023505062900000002	-0.0325345286	0.044114723499999994	0.0373333835	0.026005287000000002	0.000885755	0.0104531172	-0.0615331959	0.0233906706	0.0018817658	-0.0170573676	-0.0405063859	0.0985945645	0.050383079000000004	-0.0164240214	0.0417126814	0.0344975433	0.0709309416	-0.0378493369	0.0509354715	0.0415714619	-0.008026010200000001	-0.10727355820000001	-0.0150421587	0.0227773482	-0.003492728	-0.09563377630000001	-0.0343458468	0.0789403414	0.10117522960000001	0.0300817058	-0.0598403816	-0.0047019899	0.024871470099999998	-0.0104458727	0.020717863899999998	0.0289176849	-0.10348905609999999	-0.07286707719999999	0.020610425800000002	-0.0463273845	-0.037781071	0.032627101400000004	-0.0173191125	-0.08311291950000001	-0.0020826548	-0.025636124500000003	0.038455183500000004	-0.08514071699999999	-0.0663011097	-0.0141273153	-0.0290072007	-0.10301418470000001	0.036450132	0.1402546112	-0.021208661299999997	0.0578870457	-0.0525315262	0.08893296630000001	0.0874095183	0.0848897399	0.0814023527	0.07698710730000001	0.0716943307	-2.59238e-05	0.010080176200000002	6.720434064399999e-10	0.00010160995222304649	0.0268002	0.026252438	0.00071825072004	0.0006891905009438438	-0.113568	-0.02669130000000001	0.0007124254956900008	0.012897690623999999	0.000363626	0.000262151	6.872314680099998e-08	1.32223867876e-07	-0.0	0.0	0.0	0.0	-2.37783e-05	6.443280000000001e-05	5.6540755089e-10	4.1515857158400025e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5929373433	0.4795142233	-1.6655585	-0.4983666053	1.007897138	1.582571659	-1.872683138	-0.4988242742	1.428728087	-1.20333733	-0.7037019876	-0.7571801115	0.7011515378	-2.3196018	-0.1316715857	0.158610744	-0.6778222482	-0.2008937556	-0.09834836425
4125.159633221684	-1.3666496656214804	1.8677313085433038	17016941.99956166	3877.0215746103413	-9.232204770519731	85.23360492480725	15031296.28999405	4609.817419965957	0.5494299606270943	0.30187328163469035	21250416.64542159	4518.6385480548715	2801.0803502302724	1.2935390000000002	12.413078	0.10190078119999996	0.0490211	0.0461250454	0.0555238767	0.0290856698	-0.045713438200000005	0.0275638406	-0.0004039485	0.0717607238	-0.0682298511	-0.0236691058	-0.0165261064	0.0026454658000000003	-0.023279931400000002	0.027460621	0.057195763	-0.0604143516	-0.034343987299999996	-0.0348736297	0.0016308987	0.0610271691	-0.033983825499999995	0.010764769799999999	0.033377739100000005	4.02108e-05	-0.0768197031	0.0220282404	-0.0534126651	-0.042838185300000005	-0.0835979444	0.0269560285	-0.0021222166	-0.0375060692	-0.025348836800000003	0.0409816014	0.042890800300000004	0.08429145769999999	0.1035073176	-0.11469609050000001	0.0290998095	-0.05911308570000001	0.0663997774	0.0316305117	0.0338456787	0.0012070022	-0.0428179337	-0.023488684300000003	-0.041214792400000005	0.041372104300000004	0.044818922000000004	0.0490595236	-0.0455270778	-0.054355658	-0.0782785429	-0.0087198489	-0.11271348910000001	-0.0302859696	-0.016624203100000002	-0.014539741699999999	-0.0637495916	0.0846506174	0.09485635939999999	0.0392801812	-0.025628451099999998	0.08880611990000001	0.0869053842	0.08376756839999999	0.0794373389	0.0739763355	0.0674622944	-0.00289682	-0.0028708962	8.3915661124e-06	8.24204499117444e-06	0.0226547	-0.0041455	0.00051323543209	1.718517025e-05	-0.0754547	0.0381133	0.0014526236368900005	0.00569341175209	0.000924155	0.0005605289999999999	3.14192759841e-07	8.54062464025e-07	-0.000232779	-0.000232779	5.418606284100001e-08	5.418606284100001e-08	-0.000365892	-0.00034211370000000003	1.3387695566399998e-07	1.1704178372768998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5190362924	0.4664139453	-1.745624148	-0.8433011742	0.9206504285	1.502909744	-1.985265455	0.4171673942	0.6212414409	1.152356584	-1.658296605	0.304469966	0.09429944257	-0.3545475057	-0.9509558254	0.5375032145	-0.9628156328	-0.02013090027	-0.2640210273
